--- StartTestVectorGpuSum Report ---
VectorGpu._size = 1000000
blocksNum; threadsNum; Status; Result; Time_mks
13; 1; 1; 2000; 7428
13; 2; 1; 2000; 4217
13; 3; 1; 2000; 2968
13; 4; 1; 2000; 2343
13; 5; 1; 2000; 1906
13; 6; 1; 2000; 1671
13; 7; 1; 2000; 1593
13; 8; 1; 2000; 1524
13; 9; 1; 2000; 1407
13; 10; 1; 2000; 1789
13; 11; 1; 2000; 1450
13; 12; 1; 2000; 1492
13; 13; 1; 2000; 1469
13; 14; 1; 2000; 1434
13; 15; 1; 2000; 1346
13; 16; 1; 2000; 1570
13; 17; 1; 2000; 1534
13; 18; 1; 2000; 1482
13; 19; 1; 2000; 1658
13; 20; 1; 2000; 2138
14; 1; 1; 2000; 6994
14; 2; 1; 2000; 3691
14; 3; 1; 2000; 4276
14; 4; 1; 2000; 2240
14; 5; 1; 2000; 1871
14; 6; 1; 2000; 1661
14; 7; 1; 2000; 1459
14; 8; 1; 2000; 1408
14; 9; 1; 2000; 1307
14; 10; 1; 2000; 1365
14; 11; 1; 2000; 1313
14; 12; 1; 2000; 2191
14; 13; 1; 2000; 1660
14; 14; 1; 2000; 1496
14; 15; 1; 2000; 1446
14; 16; 1; 2000; 1391
14; 17; 1; 2000; 1476
14; 18; 1; 2000; 1276
14; 19; 1; 2000; 1516
14; 20; 1; 2000; 1516
15; 1; 1; 2000; 6494
15; 2; 1; 2000; 3529
15; 3; 1; 2000; 2497
15; 4; 1; 2000; 2000
15; 5; 1; 2000; 1685
15; 6; 1; 2000; 1852
15; 7; 1; 2000; 1580
15; 8; 1; 2000; 1347
15; 9; 1; 2000; 1367
15; 10; 1; 2000; 1367
15; 11; 1; 2000; 1348
15; 12; 1; 2000; 1332
15; 13; 1; 2000; 1259
15; 14; 1; 2000; 1374
15; 15; 1; 2000; 1328
15; 16; 1; 2000; 1528
15; 17; 1; 2000; 1611
15; 18; 1; 2000; 1461
15; 19; 1; 2000; 1531
15; 20; 1; 2000; 1477
16; 1; 1; 2000; 6200
16; 2; 1; 2000; 3696
16; 3; 1; 2000; 2667
16; 4; 1; 2000; 1954
16; 5; 1; 2000; 1615
16; 6; 1; 2000; 1506
16; 7; 1; 2000; 1399
16; 8; 1; 2000; 1389
16; 9; 1; 2000; 1269
16; 10; 1; 2000; 1385
16; 11; 1; 2000; 2442
16; 12; 1; 2000; 1580
16; 13; 1; 2000; 1606
16; 14; 1; 2000; 1490
16; 15; 1; 2000; 1577
16; 16; 1; 2000; 1504
16; 17; 1; 2000; 1468
16; 18; 1; 2000; 1448
16; 19; 1; 2000; 1539
16; 20; 1; 2000; 1908
17; 1; 1; 2000; 6104
17; 2; 1; 2000; 3270
17; 3; 1; 2000; 2309
17; 4; 1; 2000; 3004
17; 5; 1; 2000; 1645
17; 6; 1; 2000; 1550
17; 7; 1; 2000; 1356
17; 8; 1; 2000; 1333
17; 9; 1; 2000; 1319
17; 10; 1; 2000; 1347
17; 11; 1; 2000; 1347
17; 12; 1; 2000; 1394
17; 13; 1; 2000; 3897
17; 14; 1; 2000; 1532
17; 15; 1; 2000; 1493
17; 16; 1; 2000; 1516
17; 17; 1; 2000; 1397
17; 18; 1; 2000; 1502
17; 19; 1; 2000; 1509
17; 20; 1; 2000; 1592
18; 1; 1; 2000; 5827
18; 2; 1; 2000; 3131
18; 3; 1; 2000; 2212
18; 4; 1; 2000; 1797
18; 5; 1; 2000; 1535
18; 6; 1; 2000; 1387
18; 7; 1; 2000; 1361
18; 8; 1; 2000; 1585
18; 9; 1; 2000; 1356
18; 10; 1; 2000; 1402
18; 11; 1; 2000; 1425
18; 12; 1; 2000; 1340
18; 13; 1; 2000; 1368
18; 14; 1; 2000; 1349
18; 15; 1; 2000; 1460
18; 16; 1; 2000; 1406
18; 17; 1; 2000; 1659
18; 18; 1; 2000; 1831
18; 19; 1; 2000; 1562
18; 20; 1; 2000; 1545
19; 1; 1; 2000; 5422
19; 2; 1; 2000; 2914
19; 3; 1; 2000; 2136
19; 4; 1; 2000; 2048
19; 5; 1; 2000; 1513
19; 6; 1; 2000; 1381
19; 7; 1; 2000; 1307
19; 8; 1; 2000; 1288
19; 9; 1; 2000; 1271
19; 10; 1; 2000; 1320
19; 11; 1; 2000; 1324
19; 12; 1; 2000; 1298
19; 13; 1; 2000; 1399
19; 14; 1; 2000; 1450
19; 15; 1; 2000; 2687
19; 16; 1; 2000; 1452
19; 17; 1; 2000; 1436
19; 18; 1; 2000; 1410
19; 19; 1; 2000; 1494
19; 20; 1; 2000; 1457
20; 1; 1; 2000; 5169
20; 2; 1; 2000; 2932
20; 3; 1; 2000; 2041
20; 4; 1; 2000; 1659
20; 5; 1; 2000; 1357
20; 6; 1; 2000; 1280
20; 7; 1; 2000; 1267
20; 8; 1; 2000; 1200
20; 9; 1; 2000; 1248
20; 10; 1; 2000; 1224
20; 11; 1; 2000; 2145
20; 12; 1; 2000; 1484
20; 13; 1; 2000; 1350
20; 14; 1; 2000; 1435
20; 15; 1; 2000; 1371
20; 16; 1; 2000; 1431
20; 17; 1; 2000; 1391
20; 18; 1; 2000; 1422
20; 19; 1; 2000; 1406
20; 20; 1; 2000; 1453
VectorGpu._size = 4000000
blocksNum; threadsNum; Status; Result; Time_mks
1; 1; 1; 4000; 182866
1; 2; 1; 4000; 94328
1; 3; 1; 4000; 63248
1; 4; 1; 4000; 47729
1; 5; 1; 4000; 39096
1; 6; 1; 4000; 31889
1; 7; 1; 4000; 28625
1; 8; 1; 4000; 25732
1; 9; 1; 4000; 23062
1; 10; 1; 4000; 21371
1; 11; 1; 4000; 19782
1; 12; 1; 4000; 16586
1; 13; 1; 4000; 17275
1; 14; 1; 4000; 15027
1; 15; 1; 4000; 14640
1; 16; 1; 4000; 14839
1; 17; 1; 4000; 13002
1; 18; 1; 4000; 12381
1; 19; 1; 4000; 11992
1; 20; 1; 4000; 12430
2; 1; 1; 4000; 94712
2; 2; 1; 4000; 47486
2; 3; 1; 4000; 31836
2; 4; 1; 4000; 24248
2; 5; 1; 4000; 19976
2; 6; 1; 4000; 16212
2; 7; 1; 4000; 14257
2; 8; 1; 4000; 13443
2; 9; 1; 4000; 11522
2; 10; 1; 4000; 11014
2; 11; 1; 4000; 9900
2; 12; 1; 4000; 8956
2; 13; 1; 4000; 8748
2; 14; 1; 4000; 7945
2; 15; 1; 4000; 7444
2; 16; 1; 4000; 7595
2; 17; 1; 4000; 6911
2; 18; 1; 4000; 6516
2; 19; 1; 4000; 6388
2; 20; 1; 4000; 6280
3; 1; 1; 4000; 63267
3; 2; 1; 4000; 31704
3; 3; 1; 4000; 21458
3; 4; 1; 4000; 16030
3; 5; 1; 4000; 13213
3; 6; 1; 4000; 11259
3; 7; 1; 4000; 10022
3; 8; 1; 4000; 8727
3; 9; 1; 4000; 8384
3; 10; 1; 4000; 7251
3; 11; 1; 4000; 7130
3; 12; 1; 4000; 6303
3; 13; 1; 4000; 6192
3; 14; 1; 4000; 5558
3; 15; 1; 4000; 5440
3; 16; 1; 4000; 5056
3; 17; 1; 4000; 4876
3; 18; 1; 4000; 4761
3; 19; 1; 4000; 4517
3; 20; 1; 4000; 4381
4; 1; 1; 4000; 47423
